CodeGeneration,Code,Generation,Name,Latitude,Longitude,Altitude,Earliest annual mean,Latest annual mean,Status,StatusCode,Responsible Institute(s),Notes
HVN4,HVN,4,Havana 4 (Inst. Geofis. y Astron.),22.967,-82.15,,1988,1999,Uncertain,0,,operation 1995-97 uncertain
HWK1,HWK,1,Hackney Wick 1,51.55,-0.033,,1813,1815,Closed,3,,
HYB1,HYB,1,Hyderabad,17.413,78.555,500,1965,,Open,2,http://www.ngri.org.in/ and http://www.gfz-potsdam.de,
HZC1,HZC,1,Hangzhou,30.3,120.1,,,,Closed,3,,
IBD1,IBD,1,Ibadan,7.433,3.9,,1956,1975,Closed,3,,
ICH1,ICH,1,Icheon,37.146,127.55,,2021,,Open,2,,Request for code received Aug 2015 from Dae-Young Lee
IIF1,IIF,1,Ile Ife,7.383,3.933,,,,Closed,3,assistance from http://www.geomag.bgs.ac.uk,F and dD/dI
ILN1,ILN,1,Inge Lehmann,77.917,-39.233,,1966,1967,Closed,3,,
INK1,INK,1,Inuvik,68.25,-133.3,,,,Uncertain,0,,Variometer station part of International Magnetospheric Study. http://www-ssc.igpp.ucla.edu/SPDS/geomag/
IPM1,IPM,1,Isla de Pascua (Easter Island),-27.171,-109.41,83,2010,,Open,2,http://www.bcmt.fr,
IQA1,IQA,1,Iqaluit,63.753,-68.518,67,1995,,Open,2,http://www.geomag.nrcan.gc.ca,
IRT1,IRT,1,Irkutsk (Patrony) 1,52.267,104.267,465,1887,1914,Closed,3,,
IRT2,IRT,2,Irkutsk 2,52.167,104.45,465,1959,,Open,2,http://magnit.iszf.irk.ru/index.php,
ISC1,ISC,1,Isachsen,78.8,-104,,,,Uncertain,0,University of Alaska,
ISK1,ISK,1,Istanbul (Kandilli),41.063,29.062,130,1946,1997,Closed,3,http://www.koeri.boun.edu.tr/,
ISL1,ISL,1,Island Lake,53.9,-94.7,,1976,1976,Closed,3,,
ISP1,ISP,1,Islamabad,33.75,73.137,,2008,,Uncertain,0,,
IVI1,IVI,1,Ivigtut 1,61.2,-48.267,,1863,1863,Closed,3,,
IVI2,IVI,2,Ivigtut 2,61.2,-48.167,,1931,1943,Closed,3,,operation 1932-1942 uncertain
IVI3,IVI,3,Ivigtut 3,61.2,-48.183,,1946,1946,Closed,3,,
IVI4,IVI,4,Ivigtut 4,61.2,-48.167,,1960,1960,Closed,3,,
IZN1,IZN,1,Iznik,40.5,29.733,256,2007,,Open,2,http://www.koeri.boun.edu.tr/,Operating since August 2005
JAI1,JAI,1,Jaipur,26.87,75.82,437,1976,,Open,2,http://iigm.res.in/,not operational 1988-2002
JAL1,JAL,1,Jaluit (Yaluit),5.917,169.65,,1938,1942,Closed,3,,
JCO1,JCO,1,Jim Carrigan Observatory,70.356,-148.799,20,2004,,Open,2,https://geomag.bgs.ac.uk,
JEJ,JEJ,1,Jeju,33.426,126.295,54,,,Provisional,1,https://spaceweather.rra.go.kr/,
JIH1,JIH,1,Jinghai,38.9,116.9,,1984,,Closed,3,,
JKI1,JKI,1,Jekman Island,76.433,95.133,,1939,1939,Closed,3,,
JMI1,JMI,1,Jan Mayen 1,71,-8.467,,1883,1892,Closed,3,,operation 1884-1891 uncertain
JMI2,JMI,2,Jan Mayen 2,70.983,-8.333,,1933,1933,Closed,3,,
JOP1,JOP,1,Johnson Point,72.46,-118.3,,,,Uncertain,0,University of Alaska,Variometer station part of International Magnetospheric Study. http://www-ssc.igpp.ucla.edu/SPDS/geomag/
JRV1,JRV,1,Jarvis Island,-0.383,-160.033,4,1957,1958,Closed,3,US Coast and Geodetic Survey,
JSS1,JSS,1,Jassy,47.183,27.533,,1931,1971,Closed,3,,operation not continuous
JUL1,JUL,1,Julianehaab 1,60.717,-46.033,,1933,1934,Closed,3,,
JUL2,JUL,2,Julianehaab 2,60.717,-46.033,,1957,1965,Closed,3,,operation not continuous
JYG1,JYG,1,Jiayuguan,39.8,98.2,,1993,,Closed,3,,
JYP1,JYP,1,Jayapura ,-2.514,140.706,371,,,Provisional,1,"Badan Meteorologi, Klimatologi dan Geofisika (BMKG) Indonesia",Request received from Yosi Setiawan (BMKG) 04 Dec 2024
KAK1,KAK,1,Kakioka,36.232,140.186,36,1913,,Open,2,http://www.kakioka-jma.go.jp/en/,
KAM1,KAM,1,Kamennyi Mys,68.08,73.1,,,,Closed,3,,"Data on microfilm at Kyoto, variometer?"
KAR1,KAR,1,Karmakuly,72.38,52.73,,,,Closed,3,,"Data on microfilm at Kyoto, variometer?"
KAS1,KAS,1,Karsani,41.833,44.7,,1905,1934,Closed,3,,operation 1914-25 uncertain
KAT1,KAT,1,Katuura,33.633,139.95,,1946,1953,Closed,3,,
KDU1,KDU,1,Kakadu,-12.686,132.472,,1995,,Open,2,http://www.ga.gov.au,
KEL1,KEL,1,Keles,41.417,69.2,,1936,1963,Closed,3,,
KEM1,KEM,1,Kem,65,34.4,,1973,1973,Uncertain,0,,
KEP1,KEP,1,King Edward Point (South Georgia),-54.282,-36.493,7,2011,,Open,2,https://geomag.bgs.ac.uk,
KEW1,KEW,1,Kew,51.467,-0.317,,1842,1924,Closed,3,https://geomag.bgs.ac.uk,
KFT1,KFT,1,Klagenfurt,46.617,14.3,,1891,1899,Closed,3,,
KGD1,KGD,1,Bereznyaki (Karaganda),49.817,73.083,,1965,1988,Closed,3,,
KGF1,KGF,1,Kinguafjord,66.6,-67.317,,1883,1883,Closed,3,,
KGI1,KGI,1,Kerguelen 1,-49.915,70.2,,1875,1875,Closed,3,,
KGI2,KGI,2,Kerguelen 2 (Observatory Bay),-49.417,69.883,,1902,1903,Closed,3,,
KHB1,KHB,1,Khabarovsk,47.61,134.69,,,,Open,2,http://en.www.ikir.ru/,
KHS1,KHS,1,Kharasavey,71.13,66.83,,1974,1980,Closed,3,,
KIE1,KIE,1,Kiel,54.333,10.15,,1856,1890,Closed,3,,operation not continuous
KIR1,KIR,1,Kiruna,67.8428,20.4201,395,1965,,Open,2,http://www.irf.se/,
KIV1,KIV,1,Kiev,50.717,30.3,,1958,1963,Closed,3,,
KIV2,KIV,2,Kiev (Dymer),50.717,30.3,100,1964,,Open,2,http://www.igph.kiev.ua/,
KLD1,KLD,1,Kaliningrad,54.7,20.617,,1989,1992,Closed,3,,
KLI1,KLI,1,Klimovskaya,60.856,39.519,145,2015,,Open,2,http://www.gcras.ru/eng/,
KMH1,KMH,1,Keetmanshoop,-26.541,18.11,1065,2009,,Open,2,http://www.sansa.org.za/spacescience and http://www.gfz-potsdam.de,
KND1,KND,1,Kandalaksha,67.133,32.433,,1933,1933,Closed,3,,
KNS1,KNS,1,Kazan',55.785,49.134,,1892,1913,Closed,3,,operation not continuous
KNT1,KNT,1,Kontagora,10.4,5.45,,1964,1965,Closed,3,,
KNY1,KNY,1,Kanoya,31.424,130.88,107,1958,,Open,2,http://www.kakioka-jma.go.jp/en/,
KNZ1,KNZ,1,Kanozan,35.256,139.956,342,1961,,Open,2,http://vldb.gsi.go.jp/sokuchi/geomag/index-e.html,
KOD1,KOD,1,Kodaikanal,10.233,77.467,2323,1902,2004,Closed,3,,operation 1924-1949 uncertain
KOR1,KOR,1,Koror,7.333,134.5,,1957,1966,Closed,3,US Coast and Geodetic Survey,operation not continuous
KOT1,KOT,1,Kotzebue,66.883,-162.633,,1958,1958,Closed,3,US Coast and Geodetic Survey,
KOU1,KOU,1,Kourou,5.21,-52.731,10,1996,,Open,2,"http://www.bcmt.fr/
http://www.cea-igp.ac.cn/english/",
KPG1,KPG,1,Kupang,-10.1996,123.6702,240,2008,,Open,2,,
KPT1,KPT,1,King Point,69.117,-138.133,,1906,1906,Closed,3,,
KRC1,KRC,1,Karachi,24.95,67.14,35,1985,2006,Uncertain,0,,
KRE1,KRE,1,Kremsmunster,48.05,14.133,,1891,1904,Closed,3,,
KSA1,KSA,1,Ksara,33.823,35.88,,1930,1970,Closed,3,,
KSH1,KSH,1,Kashi,39.5,76,1321,1987,,Closed,3,,Closed 2008
KSH2,KSH,2,Kashi,39.5,75.8,,2008,,Open,2,,
KTC1,KTC,1,Kuchino,55.767,37.967,,1926,1929,Closed,3,,
KTG1,KTG,1,Kap Tobin,70.417,-21.967,,1959,1967,Closed,3,,operation 1960-66 uncertain
KTS1,KTS,1,Korets,50.6,61.07,,1968,1968,Uncertain,0,,
KUM1,KUM,1,Kumasi,6.7,-1.57,,1972,1972,Closed,3,,
KUY1,KUY,1,Kuyper,-6.033,106.733,,1949,1962,Closed,3,,
KVA1,KVA,1,Karavia,-11.633,27.417,,1958,1961,Closed,3,,
KWJ1,KWJ,1,Kwajalein,9.05,167.2,,1973,1973,Uncertain,0,,
